instrument,tier,solexs_start,solexs_peak,solexs_stop,solexs_peak_flux,goes_class,goes_letter,duration_min,impulsive,baseline_flux,enhancement,goes_match,goes_class_official,goes_peak_official,peak_time_error_min,neupert_lead_min,deriv_peak_time,hel1os_detected,hel1os_peak,hel1os_peak_flux,hel1os_lead_min,dual_confirmed,source,nci,impulsive_duration_s
SoLEXS,B,2024-10-03 08:59:48.000663,2024-10-03 09:10:37.000663,2024-10-03 09:22:40.000663,3.351465576005453e-05,M3.4,M,22.883333333333333,True,9.993115201090662e-06,3.353774582364136,True,M3.4,2024-10-03 09:11:00,-0.38332228333333335,5.816666666666666,2024-10-03 09:04:48.000663,False,,,,False,SoLEXS-only,0.6196186326734059,650.0
SoLEXS,B,2024-10-03 10:15:43.000663,2024-10-03 10:16:48.000663,2024-10-03 10:19:09.000663,1.8214042263122017e-05,M1.8,M,3.45,True,7.2453306066803e-06,2.5139007799490067,False,,,,1.35,2024-10-03 10:15:27.000663,False,,,,False,SoLEXS-only,0.9456786923856686,66.0
SoLEXS,B,2024-10-03 12:16:00.000663,2024-10-03 12:17:51.000663,2024-10-03 12:19:40.000663,1.4624403544648944e-05,M1.5,M,3.683333333333333,True,6.08984321745058e-06,2.4014417157312677,False,,,,2.1666666666666665,2024-10-03 12:15:41.000663,False,,,,False,SoLEXS-only,0.9093427204468005,112.0
SoLEXS,B,2024-10-03 13:41:01.000663,2024-10-03 13:57:31.000663,2024-10-03 14:12:20.000663,3.4649625085207906e-05,M3.5,M,31.333333333333332,True,5.275119291070211e-06,6.568500762411806,True,M3.7,2024-10-03 13:58:00,-0.4833222833333333,0.5333333333333333,2024-10-03 13:56:59.000663,False,,,,False,SoLEXS-only,0.6800635557612822,991.0
SoLEXS,B,2024-10-03 17:43:21.000663,2024-10-03 17:46:39.000663,2024-10-03 18:02:26.000663,0.0009000163599182005,X9.0,X,27.666666666666668,True,1.3458009543285618e-05,66.87588956029762,True,X9.1,2024-10-03 17:47:00,-0.34998895,1.1833333333333333,2024-10-03 17:45:28.000663,False,,,,False,SoLEXS-only,0.9437305258936135,199.0
SoLEXS,B,2024-10-04 01:43:57.000663,2024-10-04 01:55:28.000663,2024-10-04 02:07:43.000663,0.00018292433537832312,X1.8,X,28.75,True,1.134342194955692e-05,16.12602759482717,True,X1.8,2024-10-04 01:56:00,-0.5333222833333333,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-04 03:09:55.000663,2024-10-04 03:10:56.000663,2024-10-04 03:15:52.000663,5.9871165644171776e-05,M6.0,M,11.25,True,1.2603067484662575e-05,4.750523292605754,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-04 05:43:44.000663,2024-10-04 05:46:14.000663,2024-10-04 05:49:31.000663,2.2730061349693254e-05,M2.3,M,5.8,True,9.920313565098842e-06,2.29126440414757,False,,,,3.066666666666667,2024-10-04 05:43:10.000663,False,,,,False,SoLEXS-only,0.8483788560544616,151.0
SoLEXS,B,2024-10-04 10:11:11.000663,2024-10-04 10:25:00.000663,2024-10-04 10:36:07.000663,0.00010851533742331288,X1.1,X,28.866666666666667,True,7.003408316291752e-06,15.494646680942184,True,X1.0,2024-10-04 10:25:00,1.105e-05,10.85,2024-10-04 10:14:09.000663,False,,,,False,SoLEXS-only,0.8783172283242636,830.0
SoLEXS,B,2024-10-04 16:30:26.000663,2024-10-04 16:32:55.000663,2024-10-04 16:43:12.000663,2.4226993865030677e-05,M2.4,M,13.866666666666667,True,6.897000681663259e-06,3.5126854386779867,False,,,,2.5,2024-10-04 16:30:25.000663,False,,,,False,SoLEXS-only,0.9296643800129549,150.0
SoLEXS,B,2024-10-04 18:08:38.000663,2024-10-04 18:10:09.000663,2024-10-04 18:11:23.000663,1.214792092706203e-05,M1.2,M,2.7666666666666666,True,5.6100886162235854e-06,2.165370595382746,False,,,,1.0333333333333334,2024-10-04 18:09:07.000663,False,,,,False,SoLEXS-only,0.7965285746986365,92.0
SoLEXS,B,2024-10-04 23:37:09.000663,2024-10-04 23:38:06.000663,2024-10-04 23:40:32.000663,1.225357873210634e-05,M1.2,M,3.4,False,5.780436264485345e-06,2.119836318824514,False,,,,2.8333333333333335,2024-10-04 23:35:16.000663,False,,,,False,SoLEXS-only,0.8373026649124896,58.0
SoLEXS,B,2024-10-05 02:28:14.000663,2024-10-05 02:34:15.000663,2024-10-05 02:42:41.000663,2.436196319018405e-05,M2.4,M,15.9,True,6.120654396728017e-06,3.9802873371199463,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-05 03:39:31.000663,2024-10-05 03:41:04.000663,2024-10-05 03:45:41.000663,2.4570552147239263e-05,M2.5,M,6.25,True,7.989093387866395e-06,3.0755119453924906,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-05 05:40:13.000663,2024-10-05 05:41:45.000663,2024-10-05 05:46:07.000663,2.1734832992501703e-05,M2.2,M,6.083333333333333,True,7.0560327198364015e-06,3.080319190045598,False,,,,1.4666666666666666,2024-10-05 05:40:17.000663,False,,,,False,SoLEXS-only,0.901544160080793,93.0
SoLEXS,B,2024-10-05 07:10:47.000663,2024-10-05 07:13:42.000663,2024-10-05 07:18:41.000663,1.1548738922972052e-05,M1.2,M,7.916666666666667,True,4.414383094751193e-06,2.6161614601831404,False,,,,2.033333333333333,2024-10-05 07:11:40.000663,False,,,,False,SoLEXS-only,0.8850421999501983,176.0
SoLEXS,B,2024-10-05 07:54:15.000663,2024-10-05 07:59:47.000663,2024-10-05 08:02:45.000663,1.1708929788684391e-05,M1.2,M,8.516666666666667,False,4.730061349693252e-06,2.4754287361291256,False,,,,6.583333333333333,2024-10-05 07:53:12.000663,False,,,,False,SoLEXS-only,0.6693806956884523,333.0
SoLEXS,B,2024-10-05 08:27:58.000663,2024-10-05 08:28:44.000663,2024-10-05 08:29:29.000663,1.2404226312201774e-05,M1.2,M,1.5333333333333334,True,5.837014314928425e-06,2.1250978056499554,False,,,,1.55,2024-10-05 08:27:11.000663,False,,,,False,SoLEXS-only,0.9038487404287058,47.0
SoLEXS,B,2024-10-05 09:10:05.000663,2024-10-05 09:11:11.000663,2024-10-05 09:13:10.000663,1.1734832992501705e-05,M1.2,M,3.1,True,5.411042944785277e-06,2.1686822877299066,False,,,,25.966666666666665,2024-10-05 08:45:13.000663,False,,,,False,SoLEXS-only,0.8979884725139027,67.0
