peak_time,goes_class,goes_letter,peak_flux,fluor_ratio,line_strength,excitor_strength,disk_position
2024-10-05 02:34:15.000663,M2.4,M,2.436196319018405e-05,0.014492160705641502,0.01272620429026472,0.8781440220512231,Limb
2024-10-05 03:41:04.000663,M2.5,M,2.4570552147239263e-05,0.014492160705641502,0.01272620429026472,0.8781440220512231,Limb
2024-10-07 00:28:39.000663,M3.4,M,3.4280845262440354e-05,1.5214572826683979,0.33006439837081336,0.21693964209887778,Disk-center
2024-10-07 01:50:57.000663,M1.3,M,1.306884798909339e-05,1.5214572826683979,0.33006439837081336,0.21693964209887778,Disk-center
2024-10-07 02:45:26.000663,M3.4,M,3.403135650988412e-05,1.5214572826683979,0.33006439837081336,0.21693964209887778,Disk-center
2024-10-15 00:48:46.000663,C2.3,C,2.3496932515337425e-06,0.26021043607660505,0.017483955809871624,0.06719160104986877,Disk-center
2024-10-15 02:09:33.000663,C3.2,C,3.243353783231084e-06,0.26021043607660505,0.017483955809871624,0.06719160104986877,Disk-center
2024-10-15 04:35:02.000663,C9.2,C,9.16223585548739e-06,0.26021043607660505,0.017483955809871624,0.06719160104986877,Disk-center
2024-10-17 03:25:04.000663,C2.1,C,2.099522835719155e-06,0.13648078171414804,0.016904815152047614,0.12386223862238624,Mid-disk
2024-10-17 03:39:22.000663,C1.5,C,1.5105657805044307e-06,0.13648078171414804,0.016904815152047614,0.12386223862238624,Mid-disk
2024-10-18 19:07:35.000663,C2.1,C,2.139740967961827e-06,0.017607578234677658,0.010577836672164831,0.6007547733811606,Limb
2024-10-20 04:19:57.000663,C5.4,C,5.389229720518065e-06,0.13901050010561783,0.03935000714365085,0.28307219320665256,Mid-disk
2024-10-20 04:38:26.000663,C4.0,C,4.0347648261758694e-06,0.13901050010561783,0.03935000714365085,0.28307219320665256,Mid-disk
2024-11-03 00:45:50.000663,C6.7,C,6.736196319018405e-06,1.3311505727775739,0.26412128086696807,0.1984157812559503,Disk-center
2024-11-04 17:25:13.000663,M1.0,M,1.0482617586912067e-05,0.05229440579968791,0.26163544901656355,5.003125,Limb
2024-11-07 20:11:04.000663,C5.7,C,5.712338104976142e-06,0.010401640901177487,0.019923246568584574,1.9153945764777576,Limb
