peak_time,goes_class,goes_letter,duration_min,early_max,early_mean,early_std,rise_30s,rise_60s,rise_3m,deriv_max,deriv_mean,flux_integral,accel_max,target_class
2024-10-03 09:10:37.000663,M3.4,M,22.883333333333333,2.9477164280845264e-05,2.5053837809437754e-05,2.742245319674545e-06,0.055241275899673016,0.10615458015267182,0.31219329334787344,4.53987730061349e-08,3.154903197793085e-08,0.007541205180640764,2.1676891615542115e-09,2
2024-10-03 10:16:48.000663,M1.8,M,3.45,1.8214042263122017e-05,1.559738159780962e-05,1.8483722465020634e-06,0.18226508731682203,0.2468280350203661,0.039702233250620424,1.0265848670756653e-07,-5.80530591956457e-09,0.004694811860940696,2.1813224267209e-09,2
2024-10-03 12:17:51.000663,M1.5,M,3.683333333333333,1.4624403544648944e-05,1.2842173441403002e-05,1.5714608658086741e-06,0.1092394929953303,0.13814765399154988,0.06993551256393146,7.498295841854136e-08,-8.86602229879154e-09,0.003865494205862304,1.213360599863664e-09,2
2024-10-03 13:57:31.000663,M3.5,M,31.333333333333332,1.59107021131561e-05,1.2833819103329733e-05,1.5312925464912214e-06,0.05751267680811332,0.11409127301841483,0.27195089404857226,3.0765735060213664e-08,1.8868313253169348e-08,0.0038629795501022497,1.0997500568052596e-09,2
2024-10-03 17:46:39.000663,X9.0,X,27.666666666666668,0.0009000163599182005,0.0005836961790761863,0.0003226852009707303,1.1263489208633093,4.887365107913669,31.318769984012782,8.441717791411042e-06,2.5929891680420083e-06,0.17569254990193206,2.473913682719172e-07,3
2024-10-04 05:46:14.000663,M2.3,M,5.8,2.2730061349693254e-05,2.1789991099878386e-05,6.449568136117856e-07,0.049176947661431596,0.08904086051067034,0.1252620364960996,4.460025318921021e-08,6.009175382022312e-09,0.006558787321063395,2.2494887525562295e-09,2
2024-10-04 10:25:00.000663,X1.1,X,28.866666666666667,6.355214723926381e-05,3.313784771053996e-05,1.5881599194643358e-05,0.17708894878706188,0.35099730458221,1.8866307277628027,2.6189502385821413e-07,1.668813976186919e-07,0.009974492160872529,4.0309020677118916e-09,3
2024-10-04 16:32:55.000663,M2.4,M,13.866666666666667,2.4226993865030677e-05,2.1870801033591734e-05,2.4355532548289573e-06,0.28332513526807684,0.5212985735366455,0.7320216428922778,1.4701204271756498e-07,2.69788589057471e-08,0.006583111111111112,1.4951147466485101e-09,2
2024-10-04 18:10:09.000663,M1.2,M,2.7666666666666666,1.214792092706203e-05,1.1618712449073413e-05,3.1489098174979176e-07,0.03225609009670694,0.07124495042232824,0.0328069531154364,2.4948875255623612e-08,1.3985239819362338e-09,0.0034972324471710973,1.4133151556464477e-09,2
2024-10-04 23:38:06.000663,M1.2,M,3.4,1.225357873210634e-05,1.1675064033317707e-05,3.206791354888137e-07,0.03741556534508081,0.053333333333333365,-0.0031130690161526313,2.9311520109066094e-08,-1.490379464535731e-09,0.0035141942740286296,9.043399227448492e-10,2
2024-10-05 05:41:45.000663,M2.2,M,6.083333333333333,2.1734832992501703e-05,1.914225247810638e-05,2.0089088937409123e-06,0.27895398298530555,0.4639404485692188,0.415361562258314,1.59372869802318e-07,9.013242941716334e-09,0.00576181799591002,1.2179050215860147e-09,2
2024-10-05 07:13:42.000663,M1.2,M,7.916666666666667,1.1548738922972052e-05,1.0696997284670277e-05,7.219250475222578e-07,0.07242017584451658,0.15047046120623173,0.3055684096868734,2.958418541240623e-08,5.5371148627486065e-09,0.0032197961826857533,1.2906157691433873e-09,2
2024-10-05 07:59:47.000663,M1.2,M,8.516666666666667,1.1539195637355146e-05,1.0745587872282124e-05,6.477822500889417e-07,0.02360221630567759,0.05440023026552496,0.16794991724832695,1.990456714383091e-08,6.8070215609708605e-09,0.003234421949556919,5.0215860031811205e-09,2
2024-10-05 08:28:44.000663,M1.2,M,1.5333333333333334,1.2404226312201774e-05,1.0140669479376856e-05,1.6780234086253096e-06,0.04403102583542308,0.04776345716451852,-0.1877879512451158,3.629856850715703e-08,-1.3521878201199107e-08,0.003052341513292434,1.5042035900931663e-09,2
2024-10-05 09:11:11.000663,M1.2,M,3.1,1.1734832992501705e-05,1.1111045435913464e-05,5.007128563945375e-07,0.06204035451631179,0.07605757747187139,0.023885850776290418,3.302279784897391e-08,-1.4286802359296472e-09,0.0033444246762099525,1.863212906157827e-09,2
2024-10-05 09:38:08.000663,M2.0,M,17.466666666666665,1.6661213360599864e-05,1.5682082220818133e-05,1.001560449090617e-06,0.09436874600809028,0.14248456461571218,0.277091760698318,4.894342194955687e-08,1.148109799857649e-08,0.004720306748466258,1.458759372869807e-09,2
2024-10-05 12:43:42.000663,M1.2,M,10.533333333333333,1.1737559645535107e-05,1.1396422286991556e-05,2.465302516227652e-07,0.021188859988580923,0.037239104231428,0.0700374294233331,1.785957736877968e-08,3.307985068117378e-09,0.0034303231083844584,1.6678027720972467e-09,2
2024-10-05 13:57:06.000663,M3.2,M,9.233333333333333,3.167552828902522e-05,3.0204080015037355e-05,1.2387501633931754e-06,0.07895422113431612,0.13673766991302538,0.20459871881672825,9.270620313565119e-08,1.2650615175800128e-08,0.009091428084526244,3.787018101946429e-09,2
2024-10-05 14:14:10.000663,M3.5,M,10.616666666666667,3.276346284935242e-05,3.0272658509354187e-05,1.5844609785638482e-06,0.03978961811113645,0.06326701730314818,0.16164849963157749,4.262667575551017e-08,1.982801808994833e-08,0.00911207021131561,3.976369007044091e-09,2
2024-10-05 19:01:18.000663,M1.2,M,1.9166666666666667,1.1558963871847309e-05,1.0730842658079069e-05,6.928660729883459e-07,0.016393442622950914,0.028233151183970857,-0.05300546448087438,1.0991820040899786e-08,-5.7892784418291885e-09,0.0032299836400817997,1.0497614178595722e-09,2
2024-10-05 21:25:05.000663,M1.8,M,2.933333333333333,1.7675528289025223e-05,1.5223807485613735e-05,1.902962263241552e-06,0.11992872807017531,0.18201754385964908,-0.011604532163742765,7.225630538513945e-08,-9.481058817466507e-09,0.004582366053169734,1.6359918200409056e-09,2
2024-10-05 23:10:36.000663,M2.0,M,25.183333333333334,1.9913428766189502e-05,1.7747904621495718e-05,2.392204860369471e-06,0.10277503564769119,0.2120214982998794,0.5609849731271253,5.898659395591911e-08,2.5551062353501255e-08,0.0053421192910702115,1.4769370597591416e-09,2
2024-10-06 05:47:46.000663,M1.9,M,4.883333333333334,1.892501704158146e-05,1.8393990040016577e-05,4.1983720861039557e-07,0.03287285250264158,0.057449223183187945,0.07658591946151137,3.114676734308636e-08,4.763708298521177e-10,0.00553659100204499,5.1124744376279816e-09,2
2024-10-06 07:08:48.000663,M1.7,M,5.15,1.7081799591002043e-05,1.6628416525691458e-05,4.2459120719045774e-07,0.02581403447675427,0.029514191189273894,0.07818213477276686,2.576687116564413e-08,4.479680506292817e-09,0.005005153374233129,2.686077839452204e-09,2
2024-10-06 07:16:44.000663,M2.0,M,4.566666666666666,1.9677573278800273e-05,1.9122706180489032e-05,4.0503362561648094e-07,0.009567044346064283,0.03436632400390182,0.05650183837322713,2.299477391501917e-08,4.622571744728995e-09,0.005755934560327199,1.2906157691433763e-09,2
2024-10-06 10:33:40.000663,M2.0,M,11.933333333333334,2.025085207907294e-05,1.7151071071887168e-05,3.7831206910296686e-06,0.3278391439420089,0.6731101139109423,1.5415084570245083,9.547830038627582e-08,3.922963842948472e-08,0.005162472392638037,1.1860940695296392e-09,2
2024-10-06 11:06:55.000663,M1.3,M,14.0,1.3205862304021813e-05,1.0709106432319445e-05,1.1756042088447701e-06,0.04046634072959752,0.08747649492290319,0.1638209853328318,3.349238809361512e-08,1.3873626970311064e-08,0.003223441036128153,9.725062485798825e-10,2
2024-10-06 15:04:38.000663,C8.1,C,5.5,8.147920927062031e-06,7.776595624220108e-06,2.5179439654717266e-07,0.031255848774096935,0.07823320232079366,0.0833801235261088,1.2906157691433703e-08,6.209859030641068e-10,0.0023407552828902524,8.316291751874594e-10,1
